code,name,province,topsis_score,topsis_rank,tier,E1,E2,E3,E4,E5
shandong,山东省,山东省,0.9549677733878029,1,第一梯队,0.8814308843745313,0.7727272727272727,1.0,1.0,1.0
sichuan,四川省,四川省,0.5701895253635803,2,第二梯队,0.856842868727864,0.7999999999999999,1.0,0.42,1.0
liaoning,辽宁省,辽宁省,0.5641274038974721,3,第二梯队,0.7622876014417935,0.8727272727272727,1.0,0.42,1.0
guangxi,广西壮族自治区,广西壮族自治区,0.5580546370313767,4,第二梯队,0.7215749135311458,0.8727272727272727,1.0,0.42,1.0
hainan,海南省,海南省,0.5530670916047026,5,第二梯队,0.776423874035346,0.7454545454545455,1.0,0.42,1.0
beijing,北京市,北京市,0.5513282236875652,6,第二梯队,0.7456794822170962,0.7727272727272727,1.0,0.42,1.0
hunan,湖南省,湖南省,0.5289626512111267,7,第二梯队,0.5478878107695775,0.8727272727272727,1.0,0.42,1.0
henan,河南省,河南省,0.5105177773556108,8,第二梯队,0.6035883237946968,0.7181818181818181,0.8799999999999999,0.42,0.7
neimenggu,内蒙古自治区,内蒙古自治区,0.5054178665362841,9,第二梯队,0.41875244283040086,0.8727272727272727,1.0,0.42,1.0
tianjin,天津市,天津市,0.49771042593753595,10,第二梯队,0.5932072182956576,0.6409090909090909,0.8799999999999999,0.42,0.7
shanxi,山西省,山西省,0.49141156221418164,11,第二梯队,0.5204296079349056,0.6681818181818181,1.0,0.42,0.7
guangdong,广东省,广东省,0.4179564648608927,12,第二梯队,0.8200000000000001,0.5636363636363636,0.8799999999999999,0.21,0.7
chongqing,重庆市,重庆市,0.4040274702961706,13,第二梯队,0.7562646908809729,0.5636363636363636,0.8799999999999999,0.21,0.7
jiangsu,江苏省,江苏省,0.39851612788422486,14,第三梯队,0.5505678876781565,0.8181818181818181,0.8799999999999999,0.21,0.7
hubei,湖北省,湖北省,0.38888298639664204,15,第三梯队,0.6591922029343305,0.6136363636363635,0.8799999999999999,0.21,0.7
zhejiang,浙江省,浙江省,0.3888334279487103,16,第三梯队,0.6589769722802312,0.6136363636363635,0.8799999999999999,0.21,0.7
guizhou,贵州省,贵州省,0.3491683112684613,17,第三梯队,0.6364929296575531,0.3590909090909091,0.8799999999999999,0.21,0.7
fujian,福建省,福建省,0.3249342375206621,18,第三梯队,0.583589946345288,0.2590909090909091,0.8799999999999999,0.21,0.7
jiangxi,江西省,江西省,0.3043210187030476,19,第三梯队,0.40042960793490556,0.48636363636363633,0.8799999999999999,0.21,0.7
jilin,吉林省,吉林省,0.28225812608012874,20,第三梯队,0.3093281230211784,0.48636363636363633,0.8799999999999999,0.21,0.7
yunnan,云南省,云南省,0.27492179389906596,21,第三梯队,0.3493190728968491,0.38636363636363635,0.8799999999999999,0.21,0.7
shanghai,上海市,上海市,0.26775372882958115,22,第三梯队,0.6040350707135234,0.3318181818181818,0.8799999999999999,0.0,0.7
anhui,安徽省,安徽省,0.0947749384966963,23,第三梯队,0.08,0.2545454545454545,0.8799999999999999,0.0,0.4
hebei,河北省,河北省,0.052933494284810034,27,第三梯队,0.0,0.18181818181818182,0.6,0.0,0.7
xizang,西藏自治区,西藏自治区,0.052933494284810034,27,第三梯队,0.0,0.18181818181818182,0.6,0.0,0.7
shaanxi,陕西省,陕西省,0.052933494284810034,27,第三梯队,0.0,0.18181818181818182,0.6,0.0,0.7
gansu,甘肃省,甘肃省,0.052933494284810034,27,第三梯队,0.0,0.18181818181818182,0.6,0.0,0.7
qinghai,青海省,青海省,0.052933494284810034,27,第三梯队,0.0,0.18181818181818182,0.6,0.0,0.7
ningxia,宁夏回族自治区,宁夏回族自治区,0.052933494284810034,27,第三梯队,0.0,0.18181818181818182,0.6,0.0,0.7
xinjiang,新疆维吾尔自治区,新疆维吾尔自治区,0.052933494284810034,27,第三梯队,0.0,0.18181818181818182,0.6,0.0,0.7
heilongjiang,黑龙江省,黑龙江省,0.052933494284810034,27,第三梯队,0.0,0.18181818181818182,0.6,0.0,0.7
