code,name,region,topsis_score,dea_efficiency,operating_years,function_score
beijing,北京市,华北,0.399101336549182,0.62162539,11,10
chongqing,重庆市,西南,0.22020189137711726,0.78359596,10,5
fujian,福建省,华东,0.029064171443165816,1.0,8,2
guangdong,广东省,华南,0.1514747332185449,0.77161825,11,4
guangxi,广西壮族自治区,华南,0.3823299845385281,0.72439975,7,9
guizhou,贵州省,西南,0.029064171443165816,0.85714963,11,2
hainan,海南省,华南,0.3198946756591879,0.71062458,8,8
henan,河南省,华中,0.22999048456510532,0.76328381,9,6
hubei,湖北省,华中,0.211510678523013,0.88732085,7,5
hunan,湖南省,华中,0.3145886525735687,0.80671051,7,8
jiangsu,江苏省,华东,0.2603816192698943,0.84824997,8,6
jiangxi,江西省,华东,0.14952538244364663,1.0,9,3
jilin,吉林省,东北,0.20035896472560139,1.0,9,4
liaoning,辽宁省,东北,0.399101336549182,0.9813264,3,10
neimenggu,内蒙古自治区,华北,0.399101336549182,1.0,9,10
shandong,山东省,华东,0.399101336549182,0.64200343,9,10
shanghai,上海市,华东,0.012957375128993434,1.0,12,1
shanxi,山西省,华北,0.31445937159227516,1.0,2,7
sichuan,四川省,西南,0.8524498211880776,1.0,8,10
tianjin,天津市,华北,0.23819879568800328,0.73187487,10,6
yunnan,云南省,西南,0.28836789783929273,1.0,9,5
zhejiang,浙江省,华东,0.20164966422558123,0.7122816,12,5
